apple,play,apple_rating,play_rating,apple_price,play_price
Wishbone - Compare Anything,Wishbone - Compare Anything,4.5,4.3,0,0
Xbox,Xbox,4.5,4.3,0,0
Afterlight,Afterlight,4.5,4.3,0.99,0
Doodle Jump,Doodle Jump,4.5,4.3,0.99,0
Fruit Ninja Classic,Fruit Ninja Classic,4.5,4.3,1.99,$0.99 
aa,aa,4.5,4.2,0,0
Agar.io,Agar.io,4.5,4.2,0,0
Dubsmash,Dubsmash,4.5,4.2,0,0
Talking Ginger 2,Talking Ginger 2,4.5,4.2,0,0
WeChat,WeChat,4.5,4.2,0,0
"sugar, sugar","sugar, sugar",4.5,4.2,0.99,$1.20 
DRAGON QUEST,DRAGON QUEST,4.5,4.2,2.99,$2.99 
Toca Builders,Toca Builders,4.5,4.2,2.99,$3.99 
Farming Simulator 16,Farming Simulator 16,4.5,4.2,4.99,$2.99 
"Muscle Premium - Human Anatomy, Kinesiology, Bones","Muscle Premium - Human Anatomy, Kinesiology, Bones",4.5,4.2,19.99,$24.99 
My Emma :),My Emma :),4.5,4.1,0,0
Tomb of the Mask,Tomb of the Mask,4.5,4.1,0,0
Can Knockdown 3,Can Knockdown 3,4.5,4.1,1.99,0
Paprika Recipe Manager,Paprika Recipe Manager,4.5,4.1,4.99,$4.99 
Mad Skills Motocross,Mad Skills Motocross,4.5,4,0.99,0
Crazy Freekick,Crazy Freekick,4.5,3.9,0,0
Storm Shield,Storm Shield,4.5,3.5,2.99,0
Deck Heroes: Legacy,Deck Heroes: Legacy,4,4.7,0,0
Angry Birds 2,Angry Birds 2,4,4.6,0,0
Fandango Movies - Times + Tickets,Fandango Movies - Times + Tickets,4,4.6,0,0
RollerCoaster Tycoon® Classic,RollerCoaster Tycoon® Classic,4,4.6,5.99,$5.99 
Angry Birds Space HD,Angry Birds Space HD,4,4.5,0,0
Endless Ducker,Endless Ducker,4,4.5,0,0
Farming Simulator 14,Farming Simulator 14,4,4.5,0,0
Microsoft PowerPoint,Microsoft PowerPoint,4,4.5,0,0
Snapseed,Snapseed,4,4.5,0,0
Tiny Archers,Tiny Archers,4,4.5,0,0
USAA Mobile,USAA Mobile,4,4.5,0,0
WWE,WWE,4,4.5,0,0
